fecha,nuevas,suspendidas,reingresos,actividad,delta,saldo
2000-01-01,59,0,0,C1050,0,59
2000-02-04,1,0,0,C1050,0,60
2000-05-23,1,0,0,C1050,0,61
2001-01-05,1,0,0,C1050,0,62
2001-07-10,1,0,0,C1050,0,63
2001-07-11,1,0,0,C1050,0,64
2001-07-24,1,0,0,C1050,0,65
2001-07-27,1,0,0,C1050,0,66
2001-09-28,1,0,0,C1050,0,67
2002-03-20,1,0,0,C1050,0,68
2002-05-09,1,0,0,C1050,0,69
2002-07-09,1,0,0,C1050,0,70
2002-09-14,1,0,0,C1050,0,71
2003-06-03,1,0,0,C1050,0,72
2003-07-14,1,0,0,C1050,0,73
2004-02-03,1,0,0,C1050,0,74
2004-06-17,1,0,0,C1050,0,75
2004-08-06,1,0,0,C1050,0,76
2004-10-13,1,0,0,C1050,0,77
2005-03-17,1,0,0,C1050,0,78
2006-06-02,1,0,0,C1050,0,79
2006-06-30,1,0,0,C1050,0,80
2007-09-18,1,0,0,C1050,0,81
2007-11-09,1,0,0,C1050,0,82
2008-01-04,1,0,0,C1050,0,83
2008-01-18,1,0,0,C1050,0,84
2008-06-10,1,0,0,C1050,0,85
2008-07-22,1,0,0,C1050,0,86
2008-09-09,1,0,0,C1050,0,87
2008-10-13,1,0,0,C1050,0,88
2008-12-12,1,0,0,C1050,0,89
2009-05-06,1,0,0,C1050,0,90
2009-07-24,1,0,0,C1050,0,91
2010-03-11,1,0,0,C1050,0,92
2010-06-21,1,0,0,C1050,0,93
2010-09-14,1,0,0,C1050,0,94
2011-01-21,1,0,0,C1050,0,95
2011-03-28,1,0,0,C1050,0,96
2011-06-21,1,0,0,C1050,0,97
2011-08-18,1,0,0,C1050,0,98
2011-12-08,1,0,0,C1050,0,99
2012-03-01,1,0,0,C1050,0,100
2012-03-08,1,0,0,C1050,0,101
2012-05-02,1,0,0,C1050,0,102
2012-06-18,1,0,0,C1050,0,103
2012-12-26,1,0,0,C1050,0,104
2013-02-04,1,0,0,C1050,0,105
2013-05-15,1,0,0,C1050,0,106
2013-06-14,1,0,0,C1050,0,107
2013-10-21,1,0,0,C1050,0,108
2014-01-24,1,0,0,C1050,0,109
2014-10-23,1,0,0,C1050,0,110
2014-11-14,1,0,0,C1050,0,111
2015-02-20,1,0,0,C1050,0,112
2015-03-26,1,0,0,C1050,0,113
2015-05-01,1,0,0,C1050,0,114
2016-03-18,1,0,0,C1050,0,115
2016-04-14,1,0,0,C1050,0,116
2016-06-15,1,0,0,C1050,0,117
2016-07-26,1,0,0,C1050,0,118
2016-07-29,1,0,0,C1050,0,119
2017-07-04,1,0,0,C1050,0,120
2017-08-31,1,0,0,C1050,0,121
2017-09-25,1,0,0,C1050,0,122
2018-02-16,1,0,0,C1050,0,123
2018-03-07,1,0,0,C1050,0,124
2018-03-27,1,0,0,C1050,0,125
2018-04-17,1,0,0,C1050,0,126
2018-05-07,1,0,0,C1050,0,127
2018-06-01,1,0,0,C1050,0,128
2018-11-13,1,0,0,C1050,0,129
2018-11-22,1,0,0,C1050,0,130
2019-05-09,1,0,0,C1050,0,131
2019-05-23,1,0,0,C1050,0,132
2019-06-28,1,0,0,C1050,0,133
2020-01-22,1,0,0,C1050,0,134
2020-02-03,1,0,0,C1050,0,135
2020-02-05,1,0,0,C1050,0,136
2020-07-15,1,0,0,C1050,0,137
2020-08-12,1,0,0,C1050,0,138
2020-09-02,1,0,0,C1050,0,139
2020-10-08,1,0,0,C1050,0,140
2021-02-02,1,0,0,C1050,0,141
2021-02-24,1,0,0,C1050,0,142
2021-04-05,1,0,0,C1050,0,143
2021-05-28,1,0,0,C1050,0,144
2021-06-03,1,0,0,C1050,0,145
2021-08-13,1,0,0,C1050,0,146
2021-09-07,1,0,0,C1050,0,147
2021-10-07,1,0,0,C1050,0,148
2021-11-26,1,0,0,C1050,0,149
2021-12-16,1,0,0,C1050,0,150
2022-05-05,1,0,0,C1050,0,151
2022-05-31,1,0,0,C1050,0,152
2022-06-27,1,0,0,C1050,0,153
2022-08-24,1,0,0,C1050,0,154
2022-08-26,1,0,0,C1050,0,155
2022-10-04,1,0,0,C1050,0,156
2022-10-20,1,0,0,C1050,0,157
2022-12-15,1,0,0,C1050,0,158
2023-02-24,1,0,0,C1050,0,159
2023-04-20,1,0,0,C1050,0,160
2023-10-05,1,0,0,C1050,0,161
2023-11-26,1,0,0,C1050,0,162
