anio_fiscal,mes_fiscal,tipo_contribuyente,actividad_economica,impuesto_causado_601,imp_a_pagar_por_percepcion_699,imp_a_pagar_por_retencion_799,total_compras_locales_e_importac_519,total_ventas_y_exportaciones_419
2011,1,SOCIEDADES,C1050,1650252.33,1523414.8699999999,466111.92000000004,36176515.95,51363803.57
2011,1,SOCIEDADES,C1071,1084575.78,804066.15,120318,10924939.83,19711781.57
2011,1,SOCIEDADES,C1103,2829384.18,2829384.18,262670.86,15334762.55,36232498.59
2011,2,SOCIEDADES,C1050,1067895.19,1056925.73,548748.6,39690255.629999995,49547784.32
2011,2,SOCIEDADES,C1071,410689.21,381511.86,124902.31,11415288.309999999,14560331.059999999
2011,2,SOCIEDADES,C1103,3149074.59,3098328.69,479865.5,16454925.87,40650596.76
2011,3,SOCIEDADES,C1050,843258.6599999999,803232.63,618481.34,44500339.04,55240943.4
2011,3,SOCIEDADES,C1071,370814.01,347281.33,155395.09,13054184.08,15542022.07
2011,3,SOCIEDADES,C1103,2920974.46,2896405.41,1654039.37,25549913.16,47574562.74
2011,4,SOCIEDADES,C1050,1145163.48,1115663.6500000001,611669.54,42861667.75,53706682.65
2011,4,SOCIEDADES,C1071,507369.45,484476.25,158995.16,13385652.909999998,17135402.75
2011,4,SOCIEDADES,C1103,3467420.36,3467420.36,195511.22,13314035.16,39701967.38
2011,5,SOCIEDADES,C1050,1270748.57,1257720,637819.8200000001,47388646.65,58067880.949999996
2011,5,SOCIEDADES,C1071,693028.1799999999,665312.47,153340.16,14030125.61,19271727.72
2011,5,SOCIEDADES,C1103,2801774.2,2760639.07,660085.42,21591988.29,41923842.88
2011,6,SOCIEDADES,C1050,1430292.05,1422477.9500000002,659015.78,45170887.43,55139505.89
2011,6,SOCIEDADES,C1071,958408.5399999999,924605.97,160582.21000000002,13948916.760000002,21079502.19
2011,6,SOCIEDADES,C1103,3069107.59,2978338.14,395667.55,20093398.43,43192291.5
2011,7,SOCIEDADES,C1050,987000.5,981079.9,707200.58,49582679.160000004,55426788.75
2011,7,SOCIEDADES,C1071,702037.45,673446.43,165207.66,15637076.94,20303725.53
2011,7,SOCIEDADES,C1103,2505241.82,2432659.51,1087430.81,21713254.58,40630114.03
2011,8,SOCIEDADES,C1050,1655289.59,1650846.7,674849.3099999999,44280653.05,58467599.43
2011,8,SOCIEDADES,C1071,559481.89,523519.34,187501.75999999998,15880029.41,19591958.03
2011,8,SOCIEDADES,C1103,3197984.03,3188127.45,598029.81,21769110.32,46538137.44
2011,9,SOCIEDADES,C1050,865235.82,842636.73,1107519.56,51583115.82,57167042.059999995
2011,9,SOCIEDADES,C1071,717944.5499999999,686451.75,201935.78,16897067.58,20730286.07
2011,9,SOCIEDADES,C1103,2850767.39,2822140.29,1091731.54,22210315.9,44324913.1
2011,10,SOCIEDADES,C1050,553113.36,532274.85,706683.5,53391938.89,55227440.58
2011,10,SOCIEDADES,C1071,393764.27999999997,355063.18,219813.51,21764132.5,22590779.9
2011,10,SOCIEDADES,C1103,3011709.85,3011709.85,522081.7,21444324.31,44728895.57
2011,11,SOCIEDADES,C1050,700762.62,690881.6,1242395.13,49497063.88,54565537.67
2011,11,SOCIEDADES,C1071,497391.66000000003,411838.43,234442.46000000002,21374920.29,23760134
2011,11,SOCIEDADES,C1103,3729792.65,3729792.65,954174.34,22804031.44,52608937.88
2011,12,SOCIEDADES,C1050,971811.76,962192.41,646101.1,51440099.839999996,59574505.91
2011,12,SOCIEDADES,C1071,629586.36,578137.24,284002.49,23420501.900000002,24943989.87
2011,12,SOCIEDADES,C1103,5725493.28,5725493.28,505525.06,18079747.97,63966908.99
2012,1,SOCIEDADES,C1050,1530152.42,1517397.1500000001,540492.78,37372125.74,52187390.25
2012,1,SOCIEDADES,C1071,1007600.74,970399.47,110300.78,13386243.17,22266326
2012,1,SOCIEDADES,C1103,2796476.04,2796476.04,251780.58,26357176.55,46988166.11
2012,2,SOCIEDADES,C1050,1394190.77,1320343.1500000001,908131.73,41871254.449999996,54089305.04
2012,2,SOCIEDADES,C1071,438161.06,395430.18,160951.51,12565797.690000001,16376208.14
2012,2,SOCIEDADES,C1103,2786965.08,2786965.08,1178664.12,25405903.48,45697239.48
2012,3,SOCIEDADES,C1050,1708713.32,1652292.29,493146.73,44224215.629999995,61509857.18
2012,3,SOCIEDADES,C1071,691110.64,649553.91,163274.22,14357314.29,20222322.3
2012,3,SOCIEDADES,C1103,3486457.77,3486457.77,561133.12,20222236.32,47030387.39
2012,4,SOCIEDADES,C1050,1117543.6,1105266.94,708323.13,48240983.95,60332728.57
2012,4,SOCIEDADES,C1071,482078.31,421464.34,174134.94,15555776.37,19171115.53
2012,4,SOCIEDADES,C1103,3246743.26,3242460.26,381404.84,18884581.37,44321945.24
2012,5,SOCIEDADES,C1050,1082454.32,1028420.99,990736.5499999999,56940397.32,64003346.21
2012,5,SOCIEDADES,C1071,607296.54,548337.47,202455.98,16686214.08,21603234.26
2012,5,SOCIEDADES,C1103,3347571.38,3347571.38,1283434.46,24987860.57,50344402.55
2012,6,SOCIEDADES,C1050,986848.1900000001,938735,645125.74,52698068.73,58649077.49
2012,6,SOCIEDADES,C1071,406301.97000000003,353273.52,149586.69,16929585.64,16744412.33
2012,6,SOCIEDADES,C1103,2504811.75,2504811.75,2129200.91,31200352.1,49231922.16
2012,7,SOCIEDADES,C1050,2118840.11,1974251.27,450563.21,44895431.21,62645614.7
2012,7,SOCIEDADES,C1071,1187260.47,752921.88,128180.04,15769778.07,24458731.65
2012,7,SOCIEDADES,C1103,3473262.59,3473262.59,617492.67,25095280.41,51168510.57
2012,8,SOCIEDADES,C1050,624973.61,591617.15,1244378.87,57735033.03,62773513.08
2012,8,SOCIEDADES,C1071,798186.2000000001,757901.04,152772.33,17371812.5,22341506.87
2012,8,SOCIEDADES,C1103,3089840.97,3089840.97,799823.08,29309712.18,52229536.53
2012,9,SOCIEDADES,C1050,993986.74,715243.96,819662.13,51511121.15,59675843.78
2012,9,SOCIEDADES,C1071,682158.01,644248.5,185531.59,17222250.66,21683165.209999997
2012,9,SOCIEDADES,C1103,1911602.91,1911602.91,316384.34,31065167.72,45213303.89
2012,10,SOCIEDADES,C1050,1121929.1400000001,1105132.18,461881.52999999997,47600665.02,57822892.39
2012,10,SOCIEDADES,C1071,948905.11,901910.7999999999,195988.88,18392353.94,24336853.74
2012,10,SOCIEDADES,C1103,3072913.68,2975990.99,1170937.04,29818550.66,52930864.28
2012,11,SOCIEDADES,C1050,790046.94,762495.8300000001,1134920.42,51632857.410000004,58005973.09
2012,11,SOCIEDADES,C1071,1019857.48,968087.31,209935.48,18352088.61,25348183.13
2012,11,SOCIEDADES,C1103,3624702.97,3509351.58,779286.18,24675578.4,52843945.71
2012,12,SOCIEDADES,C1050,960420.5,861885.4600000001,1192589.97,56107057.25,61764562.49
2012,12,SOCIEDADES,C1071,569076.4,492944.61000000004,275590.18,18084870.16,24673389.91
2012,12,SOCIEDADES,C1103,5369467.14,5369467.14,366224.63,22148780.08,65300520.77
2013,1,SOCIEDADES,C1050,1281248.02,1229455.6500000001,720834.86,45474356.04,55545606.41
2013,1,SOCIEDADES,C1071,1445516.32,1327097.2799999998,128766.53,12520425.14,25220422.48
2013,1,SOCIEDADES,C1103,4832948.24,4832948.24,822206.7,20371602.78,58032447.29
2013,2,SOCIEDADES,C1050,1465069.8900000001,1448871.03,659342.44,43585054.309999995,54378678.22
2013,2,SOCIEDADES,C1071,993310.68,922556.51,154242.38,13418423.8,20932408.95
2013,2,SOCIEDADES,C1103,2586789.4,2586506.44,320256.53,18065135.29,38391043
2013,3,SOCIEDADES,C1050,1681590.14,1672742.8699999999,683427.02,44548134.33,61013144.43
