fecha,nuevas,suspendidas,reingresos,actividad,delta,saldo
2000-01-01,34389,0,0,Todas,0,34389
2000-01-03,10,0,0,Todas,0,34399
2000-01-04,8,0,0,Todas,0,34407
2000-01-05,4,0,0,Todas,0,34411
2000-01-06,3,0,0,Todas,0,34414
2000-01-07,11,0,0,Todas,0,34425
2000-01-09,1,0,0,Todas,0,34426
2000-01-10,8,0,0,Todas,0,34434
2000-01-11,14,0,0,Todas,0,34448
2000-01-12,12,0,0,Todas,0,34460
2000-01-13,11,0,0,Todas,0,34471
2000-01-14,11,0,0,Todas,0,34482
2000-01-15,1,0,0,Todas,0,34483
2000-01-17,8,0,0,Todas,0,34491
2000-01-18,8,0,0,Todas,0,34499
2000-01-19,10,0,0,Todas,0,34509
2000-01-20,8,0,0,Todas,0,34517
2000-01-23,1,0,0,Todas,0,34518
2000-01-24,11,0,0,Todas,0,34529
2000-01-25,18,0,0,Todas,0,34547
2000-01-26,10,0,0,Todas,0,34557
2000-01-27,13,0,0,Todas,0,34570
2000-01-28,14,0,0,Todas,0,34584
2000-01-31,6,0,0,Todas,0,34590
2000-02-01,14,0,0,Todas,0,34604
2000-02-02,11,0,0,Todas,0,34615
2000-02-03,13,0,0,Todas,0,34628
2000-02-04,11,0,0,Todas,0,34639
2000-02-05,1,0,0,Todas,0,34640
2000-02-07,6,0,0,Todas,0,34646
2000-02-08,14,0,0,Todas,0,34660
2000-02-09,10,0,0,Todas,0,34670
2000-02-10,12,0,0,Todas,0,34682
2000-02-11,9,0,0,Todas,0,34691
2000-02-14,13,0,0,Todas,0,34704
2000-02-15,20,0,0,Todas,0,34724
2000-02-16,17,0,0,Todas,0,34741
2000-02-17,8,0,0,Todas,0,34749
2000-02-18,8,0,0,Todas,0,34757
2000-02-21,13,0,0,Todas,0,34770
2000-02-22,20,0,0,Todas,0,34790
2000-02-23,8,0,0,Todas,0,34798
2000-02-24,14,0,0,Todas,0,34812
2000-02-25,13,0,0,Todas,0,34825
2000-02-28,18,0,0,Todas,0,34843
2000-02-29,10,0,0,Todas,0,34853
2000-03-01,11,0,0,Todas,0,34864
2000-03-02,10,0,0,Todas,0,34874
2000-03-03,11,0,0,Todas,0,34885
2000-03-07,1,0,0,Todas,0,34886
2000-03-08,9,0,0,Todas,0,34895
2000-03-09,8,0,0,Todas,0,34903
2000-03-10,18,0,0,Todas,0,34921
2000-03-13,17,0,0,Todas,0,34938
2000-03-14,14,0,0,Todas,0,34952
2000-03-15,13,0,0,Todas,0,34965
2000-03-16,12,0,0,Todas,0,34977
2000-03-17,7,0,0,Todas,0,34984
2000-03-20,14,0,0,Todas,0,34998
2000-03-21,8,0,0,Todas,0,35006
2000-03-22,12,0,0,Todas,0,35018
2000-03-23,12,0,0,Todas,0,35030
2000-03-24,17,0,0,Todas,0,35047
2000-03-27,8,0,0,Todas,0,35055
2000-03-28,12,0,0,Todas,0,35067
2000-03-29,17,0,0,Todas,0,35084
2000-03-30,19,0,0,Todas,0,35103
2000-03-31,15,0,0,Todas,0,35118
2000-04-01,1,0,0,Todas,0,35119
2000-04-03,25,0,0,Todas,0,35144
2000-04-04,16,0,0,Todas,0,35160
2000-04-05,13,0,0,Todas,0,35173
2000-04-06,22,0,0,Todas,0,35195
2000-04-07,8,0,0,Todas,0,35203
2000-04-10,9,0,0,Todas,0,35212
2000-04-11,16,0,0,Todas,0,35228
2000-04-12,7,0,0,Todas,0,35235
2000-04-13,16,0,0,Todas,0,35251
2000-04-14,10,0,0,Todas,0,35261
2000-04-17,16,0,0,Todas,0,35277
2000-04-18,21,0,0,Todas,0,35298
2000-04-19,7,0,0,Todas,0,35305
2000-04-20,5,0,0,Todas,0,35310
2000-04-22,1,0,0,Todas,0,35311
2000-04-24,6,0,0,Todas,0,35317
2000-04-25,9,0,0,Todas,0,35326
2000-04-26,9,0,0,Todas,0,35335
2000-04-27,12,0,0,Todas,0,35347
2000-04-28,15,0,0,Todas,0,35362
2000-04-30,1,0,0,Todas,0,35363
2000-05-02,4,0,0,Todas,0,35367
2000-05-03,18,0,0,Todas,0,35385
2000-05-04,8,0,0,Todas,0,35393
2000-05-05,10,0,0,Todas,0,35403
2000-05-08,10,0,0,Todas,0,35413
2000-05-09,18,0,0,Todas,0,35431
2000-05-10,11,0,0,Todas,0,35442
2000-05-11,16,0,0,Todas,0,35458
2000-05-12,8,0,0,Todas,0,35466
2000-05-15,12,0,0,Todas,0,35478
2000-05-16,11,0,0,Todas,0,35489
2000-05-17,12,0,0,Todas,0,35501
2000-05-18,9,0,0,Todas,0,35510
2000-05-19,11,0,0,Todas,0,35521
2000-05-22,8,0,0,Todas,0,35529
2000-05-23,18,0,0,Todas,0,35547
2000-05-24,19,0,0,Todas,0,35566
2000-05-25,20,0,0,Todas,0,35586
2000-05-29,13,0,0,Todas,0,35599
2000-05-30,12,0,0,Todas,0,35611
2000-05-31,14,0,0,Todas,0,35625
2000-06-01,13,0,0,Todas,0,35638
2000-06-02,18,0,0,Todas,0,35656
2000-06-05,14,0,0,Todas,0,35670
2000-06-06,9,0,0,Todas,0,35679
2000-06-07,14,0,0,Todas,0,35693
2000-06-08,18,0,0,Todas,0,35711
2000-06-09,11,0,0,Todas,0,35722
2000-06-12,14,0,0,Todas,0,35736
2000-06-13,11,0,0,Todas,0,35747
2000-06-14,15,0,0,Todas,0,35762
2000-06-15,15,0,0,Todas,0,35777
2000-06-16,8,0,0,Todas,0,35785
2000-06-19,17,0,0,Todas,0,35802
2000-06-20,15,0,0,Todas,0,35817
2000-06-21,11,0,0,Todas,0,35828
2000-06-22,13,0,0,Todas,0,35841
2000-06-23,10,0,0,Todas,0,35851
2000-06-26,11,0,0,Todas,0,35862
2000-06-27,14,0,0,Todas,0,35876
2000-06-28,13,0,0,Todas,0,35889
